company,symbol,classification,predicted_price,predicted_return,today_news_titles,today_news_count,sentiment_score,similar_companies,final_score,recommendation
Qualcomm,QCOM,Hold,228.83,-3.92,[],0,1.0,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",0.1128,HOLD
Cisco,CSCO,Hold,116.21,-3.49,[],0,0.333,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",-0.0388,HOLD
JP Morgan,JPM,Sell,305.83,-0.18,[],0,1.0,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC', 'SoftBank']",-0.1563,SELL
Goldman Sachs,GS,Buy,983.55,-1.32,[],0,0.0,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Visa', 'ASML', 'ICBC', 'SoftBank']",0.3537,BUY
Visa,V,Sell,329.31,0.13,[],0,0.0,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'ASML', 'ICBC', 'SoftBank']",-0.3954,SELL
Johnson & Johnson,JNJ,Hold,234.02,-0.14,[],0,0.0,"['Alibaba', 'IBM', 'Sony', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.0047,HOLD
Pfizer,PFE,Sell,25.9,-0.01,[],0,0.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.4004,SELL
ExxonMobil,XOM,Hold,155.48,0.36,[],0,0.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",0.0126,HOLD
ASML,ASML.AS,Buy,1377.31,-2.25,[],0,-0.333,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ICBC', 'SoftBank']",0.238,BUY
SAP,SAP.DE,Buy,152.13,0.23,[],0,0.667,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",0.5749,BUY
Siemens,SIE.DE,Sell,267.8,-0.3,[],0,0.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.4104,SELL
Louis Vuitton,MC.PA,Sell,472.95,0.07,[],0,0.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.3974,SELL
TotalEnergies,TTE.PA,Hold,77.99,-0.84,[],0,0.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.0294,HOLD
Shell,SHEL.L,Hold,3197.03,-0.25,[],0,0.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.0087,HOLD
Baidu,BIDU,Sell,129.99,1.72,[],0,0.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.3399,SELL
JD,JD,Sell,30.67,0.49,[],0,1.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.1329,HOLD
BYD,BYDDY,Sell,11.77,1.44,[],0,-0.6,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'Toyota', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",-0.4997,SELL
ICBC,1398.HK,Hold,6.85,0.04,[],0,1.0,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'SoftBank']",0.2513,BUY
Toyota,TM,Hold,189.89,0.43,[],0,0.667,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Nintendo', 'Reliance Industries', 'Tata Consultancy Services']",0.1818,BUY
SoftBank,9984.T,Hold,6541.44,-3.19,[],0,0.0,"['Microsoft', 'Amazon', 'Alphabet', 'Meta', 'Tencent', 'Oracle', 'Adobe', 'Netflix', 'AMD', 'Qualcomm', 'Cisco', 'JP Morgan', 'Goldman Sachs', 'Visa', 'ASML', 'ICBC']",-0.1117,HOLD
Nintendo,NTDOY,Sell,11.4,0.21,[],0,-0.333,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Reliance Industries', 'Tata Consultancy Services']",-0.476,SELL
Hyundai,005380.KS,Sell,649647.59,-0.82,[],0,0.667,[],-0.2619,SELL
Reliance Industries,RELIANCE.NS,Hold,1355.63,0.08,[],0,0.333,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Tata Consultancy Services']",0.0862,HOLD
Tata Consultancy Services,TCS.NS,Hold,2300.9,0.64,[],0,1.0,"['Alibaba', 'IBM', 'Sony', 'Johnson & Johnson', 'Pfizer', 'ExxonMobil', 'SAP', 'Siemens', 'Louis Vuitton', 'TotalEnergies', 'Shell', 'Baidu', 'JD', 'BYD', 'Toyota', 'Nintendo', 'Reliance Industries']",0.2724,BUY
